Precio,Kilometraje,Antiguedad,Marca,Historial_Accidentes,Financiamiento_Disponible,Comprar
Alto,Alto,Usado,Premium,Si,No,No
Alto,Medio,Nuevo,Premium,No,No,Si
Alto,Medio,Nuevo,Economica,Si,Si,No
Bajo,Medio,Usado,Economica,Si,Si,No
Alto,Medio,Nuevo,Premium,No,No,Si
Bajo,Alto,Seminuevo,Premium,Si,No,Si
Medio,Alto,Nuevo,Media,No,No,Si
Alto,Alto,Nuevo,Economica,Si,No,No
Alto,Medio,Seminuevo,Economica,No,No,No
Alto,Medio,Nuevo,Economica,No,Si,Si
Medio,Bajo,Seminuevo,Media,Si,No,Si
Alto,Medio,Nuevo,Economica,No,Si,Si
Bajo,Bajo,Usado,Economica,Si,No,No
Bajo,Medio,Usado,Media,Si,No,No
Bajo,Medio,Seminuevo,Media,No,Si,Si
Bajo,Medio,Usado,Economica,Si,No,No
Alto,Medio,Seminuevo,Premium,No,No,Si
Medio,Bajo,Nuevo,Economica,No,Si,Si
Medio,Bajo,Usado,Economica,No,Si,Si
Alto,Bajo,Seminuevo,Premium,Si,Si,No
Medio,Bajo,Nuevo,Media,No,Si,Si
Medio,Medio,Seminuevo,Premium,Si,Si,Si
Alto,Medio,Nuevo,Premium,No,Si,Si
Alto,Medio,Nuevo,Media,No,No,Si
Bajo,Bajo,Seminuevo,Economica,No,Si,Si
Medio,Medio,Seminuevo,Premium,No,No,Si
Medio,Medio,Nuevo,Economica,No,Si,Si
Medio,Bajo,Nuevo,Premium,Si,Si,Si
Alto,Bajo,Nuevo,Premium,No,No,Si
Medio,Medio,Nuevo,Premium,No,No,Si
Bajo,Bajo,Nuevo,Economica,No,No,Si
Medio,Medio,Seminuevo,Economica,Si,No,No
Medio,Medio,Nuevo,Media,No,No,Si
Medio,Alto,Usado,Economica,Si,No,No
Bajo,Alto,Nuevo,Economica,No,Si,Si
Alto,Alto,Seminuevo,Media,No,Si,Si
Medio,Medio,Seminuevo,Media,No,Si,Si
Bajo,Bajo,Nuevo,Media,Si,Si,Si
Bajo,Alto,Nuevo,Premium,Si,Si,Si
Alto,Alto,Seminuevo,Economica,Si,Si,No
Medio,Medio,Nuevo,Economica,Si,Si,Si
Alto,Bajo,Nuevo,Media,No,No,Si
Alto,Alto,Usado,Economica,Si,Si,No
Medio,Bajo,Usado,Premium,Si,No,Si
Bajo,Medio,Nuevo,Economica,No,Si,Si
Medio,Alto,Seminuevo,Media,No,Si,Si
Bajo,Bajo,Usado,Media,No,No,Si
Bajo,Bajo,Seminuevo,Media,Si,Si,Si
Medio,Alto,Seminuevo,Economica,No,No,Si
Alto,Medio,Nuevo,Media,No,No,Si
Bajo,Bajo,Seminuevo,Economica,Si,Si,Si
Medio,Bajo,Nuevo,Economica,No,No,Si
Alto,Alto,Seminuevo,Premium,No,Si,Si
Bajo,Medio,Seminuevo,Economica,No,No,Si
Bajo,Medio,Seminuevo,Economica,No,No,Si
Alto,Alto,Usado,Premium,No,Si,Si
Bajo,Alto,Nuevo,Premium,No,No,Si
Bajo,Bajo,Seminuevo,Premium,Si,No,Si
Alto,Medio,Nuevo,Economica,Si,No,No
Bajo,Medio,Usado,Premium,No,Si,Si
Bajo,Medio,Seminuevo,Media,No,No,Si
Alto,Medio,Seminuevo,Premium,Si,No,No
Bajo,Bajo,Usado,Premium,Si,Si,Si
Medio,Alto,Nuevo,Premium,No,Si,Si
Medio,Medio,Seminuevo,Media,No,No,Si
Alto,Bajo,Usado,Premium,Si,Si,Si
Alto,Alto,Nuevo,Premium,Si,Si,Si
Bajo,Bajo,Seminuevo,Media,Si,Si,Si
Medio,Bajo,Seminuevo,Premium,Si,No,Si
Bajo,Bajo,Usado,Premium,No,Si,Si
Bajo,Alto,Seminuevo,Premium,Si,Si,Si
Medio,Bajo,Usado,Economica,No,No,Si
Bajo,Medio,Usado,Media,No,No,Si
Bajo,Alto,Seminuevo,Economica,No,No,No
Bajo,Bajo,Usado,Premium,No,Si,Si
Alto,Medio,Usado,Economica,No,No,No
Bajo,Medio,Usado,Media,Si,No,No
Medio,Medio,Usado,Premium,Si,No,No
Medio,Medio,Usado,Media,Si,No,No
Medio,Alto,Seminuevo,Economica,Si,No,No
Alto,Bajo,Seminuevo,Economica,No,No,Si
Alto,Medio,Usado,Premium,No,No,Si
Medio,Alto,Nuevo,Economica,Si,Si,No
Alto,Bajo,Seminuevo,Premium,Si,Si,Si
Alto,Bajo,Nuevo,Media,No,No,Si
Medio,Medio,Nuevo,Media,Si,No,Si
Bajo,Bajo,Usado,Premium,Si,No,Si
Medio,Medio,Usado,Media,Si,No,No
Bajo,Bajo,Usado,Media,Si,No,Si
Medio,Medio,Usado,Economica,No,No,No
Alto,Bajo,Nuevo,Economica,No,Si,Si
Medio,Alto,Seminuevo,Economica,No,No,No
Bajo,Bajo,Nuevo,Media,Si,Si,Si
Bajo,Medio,Nuevo,Media,Si,No,No
Medio,Bajo,Nuevo,Premium,No,No,Si
Bajo,Medio,Usado,Premium,No,No,Si
Bajo,Bajo,Seminuevo,Economica,Si,Si,Si
Bajo,Medio,Nuevo,Economica,Si,No,Si
Bajo,Bajo,Nuevo,Media,Si,No,Si
Alto,Medio,Nuevo,Media,No,No,Si
Alto,Bajo,Seminuevo,Economica,Si,Si,No
Bajo,Medio,Usado,Economica,Si,No,No
Alto,Alto,Seminuevo,Economica,No,No,No
Alto,Medio,Seminuevo,Economica,Si,Si,No
Medio,Bajo,Seminuevo,Economica,No,No,Si
Medio,Alto,Seminuevo,Media,Si,Si,No
Medio,Bajo,Seminuevo,Economica,No,Si,Si
Bajo,Medio,Seminuevo,Premium,Si,No,Si
Medio,Alto,Usado,Media,Si,Si,No
Bajo,Bajo,Usado,Economica,Si,Si,Si
Bajo,Alto,Seminuevo,Media,Si,No,No
Alto,Medio,Seminuevo,Economica,No,Si,Si
Bajo,Medio,Usado,Economica,No,Si,Si
Medio,Medio,Usado,Media,Si,No,No
Alto,Alto,Usado,Economica,No,No,Si
Alto,Medio,Usado,Premium,No,No,Si
Bajo,Medio,Usado,Media,No,Si,Si
Medio,Alto,Usado,Economica,No,Si,No
Bajo,Medio,Usado,Media,No,Si,Si
Alto,Medio,Seminuevo,Premium,Si,Si,Si
Alto,Medio,Seminuevo,Media,No,Si,Si
Bajo,Alto,Seminuevo,Economica,No,No,Si
Alto,Medio,Seminuevo,Premium,No,Si,Si
Medio,Bajo,Usado,Media,Si,No,No
Alto,Medio,Nuevo,Economica,Si,Si,Si
Alto,Alto,Usado,Premium,Si,Si,No
Alto,Medio,Nuevo,Economica,Si,No,No
Alto,Alto,Usado,Media,Si,Si,No
Alto,Alto,Nuevo,Media,Si,No,No
Alto,Alto,Usado,Media,Si,Si,No
Medio,Bajo,Usado,Premium,No,Si,Si
Alto,Bajo,Usado,Economica,No,No,No
Alto,Alto,Seminuevo,Media,No,Si,Si
Medio,Alto,Nuevo,Media,Si,Si,Si
Bajo,Bajo,Usado,Economica,No,No,Si
Bajo,Medio,Seminuevo,Economica,No,Si,Si
Alto,Bajo,Usado,Economica,Si,No,No
Alto,Medio,Seminuevo,Media,No,No,Si
Medio,Medio,Seminuevo,Economica,No,No,Si
Bajo,Medio,Nuevo,Premium,Si,Si,Si
Bajo,Bajo,Seminuevo,Premium,Si,No,Si
Medio,Medio,Usado,Media,Si,No,No
Medio,Alto,Usado,Economica,Si,Si,No
Alto,Alto,Seminuevo,Economica,No,Si,No
Bajo,Alto,Seminuevo,Economica,Si,No,No
Bajo,Medio,Seminuevo,Media,Si,Si,Si
Bajo,Bajo,Seminuevo,Premium,Si,Si,Si
Alto,Medio,Seminuevo,Media,No,Si,Si
